startTime,endTime,startIdx,endIdx,classification
3505128,4448297,12000,29999,2
11858545,15263604,114000,145999,3
19052413,20169488,176000,185999,4
23030808,23874218,206000,213999,5
30292162,31133006,264000,281999,2
33046517,33857568,298000,309999,2
35528252,38010959,332000,359999,3
39438478,41279996,374000,391999,4
43404365,46262853,410000,429999,5
48910938,51617695,446000,483999,2
53108509,56394000,502000,533999,3
58101860,60838488,546000,567999,4
62219013,64860964,576000,603999,5
69490325,73188362,630000,661999,2
