startTime,endTime,startIdx,endIdx,classification
7254676,11878180,438000,901999,2
13499249,13855340,1094000,1147999,3
14717006,15003960,1226000,1259999,3
15229638,15464532,1280000,1307999,3
15584146,15908392,1318000,1351999,3
19374182,19561289,1708000,1735999,4
19657224,19759607,1744000,1755999,4
21260546,21443887,1904000,1921999,4
26080988,26369124,2306000,2343999,5
34856649,35257401,3148000,3207999,3
36080406,38148440,3274000,3495999,3
38317540,38760184,3508000,3553999,3
40720879,40971241,3810000,3837999,2
45380940,45490936,4196000,4211999,2
46653380,46912662,4360000,4403999,4
55912540,56152709,5322000,5367999,3
