startTime,endTime,startIdx,endIdx,classification
282213,678167,12000,37999,0
4454046,4758788,272000,291999,0
5091259,5594619,312000,341999,0
7480997,7830566,452000,475999,0
30543834,30828129,1990000,2011999,0
30988545,31180733,2022000,2035999,0
31341627,31574653,2046000,2063999,0
31753701,31996977,2076000,2093999,0
32157804,32413085,2104000,2123999,0
32603824,32774227,2136000,2147999,0
33285664,33457091,2180000,2191999,0
33586538,33803926,2200000,2215999,0
34699191,34939530,2272000,2287999,0
35110371,35380470,2298000,2317999,0
35513160,35797929,2326000,2345999,0
35954253,36181684,2356000,2373999,0
36375576,36627720,2386000,2403999,0
36796504,37081567,2414000,2433999,0
