startTime,endTime,startIdx,endIdx,classification
93059,2888784,0,21999,3
4121041,7496720,32000,63999,2
8902883,11730625,78000,95999,4
12376047,15019712,107000,132999,5
16716688,19631651,146000,168999,3
20358266,24293858,178000,211999,2
25726411,28702204,225000,244999,3
29278883,32067319,255000,279999,5
33612153,37573502,296000,332999,3
38055172,41880014,339000,372999,2
42622287,45338507,383000,401999,4
46113266,48301859,412000,429999,5
49632021,53546919,444000,480999,3
54293178,57094555,490000,519999,2
