startTime,endTime,startIdx,endIdx,classification
8338780,8753396,234000,273999,7
10076344,10280111,296000,307999,7
18760388,19694855,592000,651999,7
19948737,20135364,658000,677999,7
29632616,30808542,932000,979999,7
33484658,33625986,1026000,1043999,7
40588348,42345432,1240000,1301999,6
45009862,46433726,1352000,1421999,6
70187938,71245545,2286000,2317999,6
76170402,76679753,2520000,2537999,8
77484639,78961040,2554000,2597999,8
79735328,80127123,2606000,2617999,8
81010221,81581840,2636000,2663999,8
81886650,83605563,2668000,2711999,8
