startTime,endTime,startIdx,endIdx,classification
98389,1912543,0,15999,0
3865787,6940129,30000,47999,0
9983076,10516776,64000,71999,1
10566051,10891078,73000,76999,0
12829478,13920355,92000,99999,0
15116798,15789054,113000,122999,1
15903582,16071062,126000,129999,0
17413999,25329185,142000,195999,0
25526480,26508344,198000,213999,1
26823346,27900292,221000,231999,1
28520125,28639376,241000,243999,0
29245140,41056197,249000,307999,0
41291288,42484279,312000,327999,1
42554380,42693469,330000,333999,0
42774069,43611425,336000,345999,0
43716904,44132786,348000,352999,0
55082748,55620362,414000,418999,1
55667538,55832313,420000,423999,0
56737833,57215581,435000,440999,0
57600262,57884026,445000,448999,0
