startTime,endTime,startIdx,endIdx,classification
1832104,5144098,22000,72999,5
5318016,8349874,78000,104999,3
8522904,10572792,112000,136999,2
13273843,15738091,175000,206999,5
18561878,20731781,249000,272999,2
21214752,23592251,286000,305999,4
24084918,27339876,321000,363999,5
27603452,29589242,373000,400999,3
29948829,32820647,413000,438999,2
33291193,34772650,451000,463999,4
35474265,37384195,482000,512999,5
37678778,39753620,522000,546999,3
39976895,41988335,556000,578999,2
42453235,44610428,591000,609999,4
44948246,47135751,624000,658999,5
47651478,49692959,672000,697999,3
49934148,51925750,707000,733999,2
55713894,58167401,791000,819999,5
58509306,58764157,833000,839999,3
