startTime,endTime,startIdx,endIdx,classification
2299591,3766196,114000,221999,2
6846346,10954455,428000,709999,3
12931438,14388973,850000,969999,4
16925545,19397542,1142000,1303999,5
22052017,24624877,1472000,1633999,2
25657775,27802671,1720000,1911999,3
29356620,31355611,2050000,2211999,4
32576189,34516553,2326000,2475999,5
35550187,38291970,2570000,2763999,2
39070816,41215311,2830000,3033999,3
42661100,44652394,3160000,3331999,3
46080987,48198580,3460000,3641999,5
49131185,51362368,3732000,3905999,2
52624015,54513876,4014000,4185999,3
55737930,57869790,4296000,4463999,4
58827827,59776618,4566000,4659999,5
