startTime,endTime,startIdx,endIdx,classification
10180821,10512756,936000,975999,7
11114109,11182291,1032000,1045999,7
19995898,20211338,2144000,2171999,7
20583509,21183577,2204000,2285999,7
28361828,28851429,3036000,3141999,6
29010889,29330665,3158000,3229999,6
30249776,30517518,3380000,3423999,6
30873169,31014825,3462000,3485999,6
31825637,32199202,3662000,3747999,6
32566410,32741174,3794000,3841999,6
33638375,33959098,4042000,4121999,6
35010161,35285081,4326000,4391999,6
36629841,36831431,4626000,4659999,6
38495147,38623245,4946000,4979999,6
38897824,39014832,5026000,5059999,6
40207836,40673373,5290000,5381999,6
44465074,44692189,5886000,5935999,6
44792362,44983117,5946000,5983999,6
45769550,46122961,6132000,6197999,6
47964988,48109289,6588000,6625999,6
50853658,51060625,6952000,6979999,8
51290208,51806072,7010000,7125999,8
52075671,52563463,7162000,7283999,8
53330146,53933306,7392000,7527999,8
54233358,54691486,7572000,7673999,8
54975189,55545014,7706000,7809999,8
55797063,56418956,7844000,7969999,8
56680353,57280304,7996000,8117999,8
57846299,58211238,8204000,8279999,8
58519657,58724147,8312000,8335999,8
60011821,60215605,8526000,8555999,8
60455226,60776017,8582000,8637999,8
61337452,61969151,8710000,8869999,8
62382545,63068581,8944000,9117999,8
63501645,63857111,9170000,9261999,8
64529569,65005470,9392000,9481999,8
65292427,65788828,9516000,9613999,8
66421719,66629987,9694000,9727999,8
