startTime,endTime,startIdx,endIdx,classification
1335923,1746263,198000,267999,3
2512298,2714944,336000,369999,3
2931930,3425440,408000,469999,2
4165950,4370401,542000,571999,2
8574052,9266385,1206000,1305999,3
9944416,10212959,1364000,1403999,3
10372314,10647101,1438000,1479999,2
11279325,11652401,1540000,1587999,2
11807496,12095091,1614000,1651999,4
13359167,13738017,1762000,1807999,4
13951930,14175991,1850000,1887999,5
15852316,16022649,2114000,2143999,5
18171746,18751063,2444000,2537999,3
19181599,19402792,2580000,2619999,3
20631237,20799234,2772000,2799999,2
22464095,22702323,2964000,2997999,4
22895695,23133143,3040000,3087999,5
24693161,24841253,3308000,3333999,5
25708447,26230917,3438000,3505999,3
27028792,27221502,3572000,3603999,3
27369839,27533484,3632000,3655999,2
28767481,28953611,3782000,3811999,2
29048854,29684014,3826000,3897999,4
30666256,30815811,3982000,4005999,4
31035828,31414716,4050000,4119999,5
32901852,33118535,4306000,4339999,5
33472574,34025856,4380000,4451999,3
34718144,34844325,4514000,4535999,3
35030923,35357136,4570000,4617999,2
36549212,36699905,4732000,4757999,2
36845740,37343588,4778000,4835999,4
38142642,38270997,4904000,4923999,4
38589853,38829975,4984000,5027999,5
39903079,40131300,5156000,5185999,5
40405737,40735231,5224000,5279999,3
41593882,41759647,5364000,5393999,3
41985576,42413735,5434000,5487999,2
43247741,43461974,5578000,5613999,2
43638081,44081796,5640000,5695999,4
44881466,45073262,5762000,5793999,4
45368991,45667655,5852000,5907999,5
47124391,47428050,6066000,6115999,5
47775216,48207913,6168000,6225999,3
48777343,48948973,6282000,6307999,3
49212431,49692557,6350000,6407999,2
50251190,50412574,6456000,6481999,2
50525703,50863151,6500000,6541999,4
51729474,51906569,6628000,6655999,4
53704518,53991260,6920000,6961999,5
54100635,54533020,6980000,7043999,3
55293110,55522475,7110000,7147999,3
55697670,56004153,7182000,7231999,2
56794028,57062570,7310000,7349999,2
57313516,57960833,7384000,7457999,4
58519741,58701606,7504000,7531999,4
59017725,59213737,7598000,7637999,5
60832657,61039659,7858000,7887999,5
61476578,61839729,7944000,8003999,3
62464556,62694651,8068000,8109999,3
62927276,63091453,8156000,8183999,2
