startTime,endTime,startIdx,endIdx,classification
5265639,5545881,74000,76999,0
6240426,6548267,84000,89999,0
7711776,8285775,112000,121999,0
8462535,9402842,128000,146999,1
9815166,10046532,151000,157999,1
10127157,10252990,161000,164999,0
10336952,10833813,167000,181999,1
11496056,11734661,188000,194999,1
11823916,11984933,198000,201999,0
13096713,13370736,214000,217999,0
14786917,14953996,239000,242999,0
15110667,15392182,249000,255999,1
16028559,16168382,266000,269999,0
17240262,17942569,287000,300999,1
18340375,18461154,311000,313999,0
19436658,19887964,323000,329999,0
21601097,21979643,349000,358999,1
22260849,22408320,362000,366999,1
22499205,22913671,370000,377999,0
22996875,23171475,381000,385999,1
23460844,23575131,389000,391999,1
23575167,24096913,392000,399999,0
24909989,25022536,413000,416999,0
27715298,28428021,469000,479999,0
29924607,30109067,495000,497999,0
30320396,30830542,503000,512999,1
31678260,31789418,524000,526999,0
35500526,35725818,574000,578999,0
36282827,36558135,587000,592999,0
41022150,41651514,679000,690999,0
42279023,42727658,710000,727999,0
42874445,43291995,734000,743999,1
44097324,44249640,754000,758999,1
44552324,45209273,774000,784999,1
51699441,51884077,875000,879999,0
58950109,59238577,968000,973999,0
62224616,62459023,1010000,1015999,0
69045716,69452560,1097000,1103999,0
