startTime,endTime,startIdx,endIdx,classification
1865646,1968916,120000,127999,0
19559845,19661950,1238000,1245999,0
31289635,31518074,1996000,2013999,0
31669370,31982664,2025000,2048999,0
36095617,36480310,2310000,2337999,0
44214686,44283851,2817000,2821999,0
44332239,44461594,2825000,2834999,0
44539853,44644903,2840000,2847999,0
48035090,48404369,3057000,3084999,0
48638816,48735977,3101000,3107999,0
48823650,48933571,3114000,3121999,0
49303632,50866954,3147000,3263999,0
59436482,60219626,3795000,3851999,0
