startTime,endTime,startIdx,endIdx,classification
16330489,16443143,1523000,1536999,6
16545464,16585157,1549000,1555999,6
16863864,16948192,1598000,1607999,6
25903780,26011406,2756000,2775999,7
26403203,26491990,2826000,2838999,7
27942867,28150849,3030000,3060999,7
44169564,44550794,4856000,4891999,8
44814878,44948424,4912000,4925999,8
45725251,45939198,4994000,5017999,8
46201248,46467886,5040000,5069999,8
46686127,46954570,5086000,5115999,8
47180934,47448190,5134000,5163999,8
47632526,47879568,5178000,5209999,8
48158746,48310002,5236000,5253999,8
48540627,48766960,5272000,5301999,8
48957772,49161928,5318000,5341999,8
49419523,49667033,5362000,5391999,8
52011180,52168327,5638000,5657999,8
52764952,52972898,5724000,5749999,8
53217677,53422437,5772000,5795999,8
53613703,53825986,5810000,5835999,8
54872723,55110735,5928000,5951999,8
55450716,55537483,5980000,5989999,8
55756296,55968231,6008000,6029999,8
56163813,56307681,6044000,6059999,8
56681916,56803572,6094000,6105999,8
61150728,61299643,6504000,6521999,8
61496378,61718955,6538000,6559999,8
