startTime,endTime,startIdx,endIdx,classification
1887675,3035075,123000,204999,5
3924529,5826271,268000,385999,2
7287174,9582592,477000,619999,3
13952321,14444330,913000,950999,5
15826507,16079260,1032000,1049999,5
17020357,17822793,1111000,1168999,2
19134663,19469355,1243000,1265999,2
20781484,21554548,1361000,1416999,3
22807596,23109203,1495000,1517999,3
24353886,24767225,1605000,1633999,4
25726217,26028115,1693000,1715999,4
27208944,27608649,1802000,1832999,5
30014716,32144507,1998000,2133999,2
33314154,35847185,2217000,2390999,3
40235108,40774630,2682000,2723999,5
40235108,40774630,2682000,2723999,2
45479898,45919859,3035000,3070999,2
46847273,47526967,3140000,3195999,3
48529034,49320012,3255000,3311999,3
53670325,54007694,3600000,3626999,5
