startTime,endTime,startIdx,endIdx,classification
1266564,1573822,123000,169999,2
2566956,2746312,277000,296999,2
3172246,3391018,339000,363999,2
6676328,6848370,656000,676999,2
8450684,8892560,842000,910999,3
11350241,11737420,1139000,1188999,3
14127402,14406937,1439000,1473999,3
16023726,16297432,1650000,1693999,4
16656521,17255710,1730000,1800999,4
21626409,21856583,2284000,2335999,5
22191714,22380841,2379000,2408999,5
27149712,27456924,2980000,3027999,2
30705530,31109612,3298000,3350999,2
32473023,32862827,3490000,3553999,3
36888311,37080126,3948000,3980999,3
38432147,38785741,4142000,4188999,4
40363758,40724065,4339000,4378999,4
42478129,42652317,4544000,4568999,4
44373712,44662426,4778000,4847999,5
47775685,47904879,5194000,5219999,5
49265056,49485731,5390000,5425999,2
53264447,53571296,5826000,5866999,2
54862288,55350442,6014000,6088999,3
55911793,56288528,6142000,6194999,3
58607652,58817112,6432000,6464999,3
60222982,60552014,6644000,6695999,4
63769725,63912154,6991000,7012999,4
65378574,65744165,7172000,7243999,5
68563745,68647609,7551000,7569999,5
