startTime,endTime,startIdx,endIdx,classification
92332,232158,0,3999,0
647258,839918,10000,14999,0
903753,1270006,18000,31999,1
3603656,3965030,78000,88999,1
8762077,9240230,144000,151999,0
9365101,9829410,153000,165999,0
10055499,10435894,169000,175999,0
10695447,11098867,179000,186999,0
11210670,11574725,188000,194999,0
11753244,12183237,202000,214999,1
12909699,13290479,230000,238999,0
13508158,13923057,241000,246999,0
17057131,17279228,276000,279999,0
21093704,21379959,335000,338999,0
36247443,36640486,506000,509999,0
39245973,39758186,531000,537999,0
39907365,40265424,539000,542999,0
40518665,40805562,545000,548999,0
48602940,48939603,628000,630999,0
52908911,53175102,659000,661999,0
55711689,56234710,681000,685999,0
56519950,57183167,688000,695999,0
57300038,57641876,697000,699999,0
60206754,60585374,722000,725999,0
60843827,61083990,728000,729999,0
