startTime,endTime,startIdx,endIdx,classification
1775386,2619181,32000,91999,6
3899926,4048836,141000,163999,6
4903993,6151513,212000,299999,6
7318371,8228943,381000,448999,6
9079223,10477298,521000,616999,6
14353138,15413993,842000,909999,6
16355459,17229975,960000,1009999,6
21181187,22222203,1280000,1369999,6
22980308,23300403,1459000,1501999,6
24043534,24220321,1551000,1582999,6
24940555,25871192,1656000,1747999,6
30139960,39439216,1909000,2285999,7
42233352,47427352,2364000,2581999,7
49687064,60723396,2634000,2976999,8
61869950,70261186,3034000,3366999,8
