startTime,endTime,startIdx,endIdx,classification
1338864,1752424,164000,223999,7
2835948,3801106,378000,547999,7
4133530,4431772,588000,629999,7
6853073,7132486,908000,941999,7
13461065,14101946,1630000,1707999,7
15746160,15845589,1920000,1941999,7
18915409,19138100,2312000,2339999,6
19268009,19783705,2364000,2445999,6
19913017,19993761,2462000,2471999,6
20262483,20347207,2498000,2507999,6
23293978,23355223,2832000,2839999,6
23389011,23801221,2844000,2895999,6
26832166,27216892,3324000,3371999,6
30320322,31070736,3734000,3875999,6
33734522,34100988,4410000,4491999,6
38729275,38942195,5098000,5137999,8
39123815,39832762,5160000,5287999,8
40038383,40596742,5314000,5419999,8
40900570,41380852,5452000,5521999,8
42229836,42257610,5652000,5655999,8
43665252,44144184,5806000,5867999,8
44384920,44820445,5888000,5945999,8
45840139,46287797,6054000,6107999,8
46531395,46910588,6130000,6181999,8
47207401,47767552,6210000,6285999,8
48062147,48359363,6316000,6363999,8
48915868,49253475,6426000,6473999,8
50255794,50758813,6586000,6647999,8
51155345,51611591,6692000,6763999,8
51824306,52255059,6782000,6849999,8
52878674,53362728,6934000,7019999,8
53600574,54120085,7044000,7125999,8
54592311,55014676,7184000,7249999,8
56807708,57207294,7484000,7547999,8
57940539,58231031,7652000,7707999,8
