startTime,endTime,startIdx,endIdx,classification
97378,416235,0,17999,0
704256,913508,32000,43999,0
1576152,1852466,80000,97999,0
2336460,2491281,124000,133999,0
3305593,3541101,180000,193999,0
4329822,4465552,236000,243999,0
5171203,5368360,284000,295999,0
5890826,6050724,322000,331999,0
8034335,8200198,448000,457999,0
8743151,9027959,488000,505999,0
9509326,9820534,532000,551999,0
10341870,10779976,580000,605999,0
11569577,11749484,648000,659999,0
12666637,13172039,710000,737999,0
13702159,13913107,764000,777999,0
14543489,14910002,812000,833999,0
15562239,15757452,868000,879999,0
16597238,17353407,930000,971999,0
18550253,18910564,1036000,1057999,0
20042345,20634896,1120000,1151999,0
21663383,21831325,1200000,1209999,0
22908488,23368706,1266000,1289999,0
24443898,24587481,1342000,1351999,0
26267507,26709318,1440000,1463999,0
27438336,27618203,1502000,1513999,0
28778488,29140377,1582000,1601999,0
29855847,30063118,1636000,1647999,0
31266047,31848422,1712000,1741999,0
33850558,34023417,1852000,1863999,0
34791368,35011774,1912000,1927999,0
38528302,38739119,2140000,2151999,0
39551622,39632393,2190000,2193999,0
46071853,46731409,2500000,2533999,0
47820311,48830531,2600000,2657999,0
50637936,50781872,2772000,2781999,0
52131746,53333575,2864000,2943999,0
54171465,54490332,3002000,3029999,0
55258172,55545527,3080000,3101999,0
58467263,58742386,3286000,3305999,0
59517800,60036022,3358000,3393999,0
