startTime,endTime,startIdx,endIdx,classification
6665154,7021349,292000,313999,3
9543188,9596947,434000,437999,3
12989016,13312938,608000,625999,2
17806520,17972804,806000,815999,2
21236700,21395738,962000,969999,4
25372715,25716705,1148000,1171999,5
30221681,30363437,1388000,1395999,3
32969132,33115604,1514000,1521999,3
35373726,35602730,1632000,1643999,2
39419258,39729842,1806000,1821999,4
43659440,44009298,1992000,2015999,5
50482763,50551246,2354000,2357999,3
51949217,52088492,2432000,2439999,2
55544738,55665160,2590000,2595999,4
59259678,59554661,2760000,2783999,5
60119849,60870156,2814000,2859999,5
