startTime,endTime,startIdx,endIdx,classification
92952,1067108,0,81999,3
1760365,1861459,148000,156999,4
7810945,11899686,590000,893999,5
12517295,15588805,946000,1183999,2
17589238,19419889,1357000,1519999,3
27154462,29077423,2145000,2304999,5
29405489,29620457,2339000,2361999,2
30340685,30646205,2416000,2444999,2
35629124,35940369,2847000,2887999,3
36030347,36299947,2895000,2921999,3
36395632,36649285,2928000,2955999,3
36912627,37212311,2981000,3014999,3
38216038,39442875,3120000,3240999,5
42075485,43013871,3462000,3542999,2
46991934,47438310,3887000,3922999,3
48060138,49496987,3986000,4130999,3
53252473,53363651,4440000,4449999,5
55560782,56966316,4620000,4747999,2
60409066,61826105,5038000,5170999,3
