startTime,endTime,startIdx,endIdx,classification
1773112,22095104,35000,323999,6
30875874,31265576,570000,586999,7
34550598,35109970,718000,742999,7
41652140,42175812,922000,943999,7
42291761,42607435,948000,967999,7
53457301,53726252,1271000,1279999,8
54514600,55142630,1301000,1315999,8
55182764,55614936,1317000,1327999,8
55662688,56087252,1329000,1339999,8
56087257,56511286,1340000,1349999,8
56511296,56866181,1350000,1357999,8
56946648,57306433,1360000,1367999,8
57351422,57680440,1369000,1376999,8
58041629,58615843,1386000,1404999,8
63419089,63787605,1522000,1536999,8
63838504,64137331,1538000,1545999,8
64229903,64591215,1549000,1557999,8
64694311,64923651,1560000,1567999,8
65166490,65286372,1576000,1580999,8
65810710,66191896,1609000,1624999,8
66256426,66473570,1627000,1636999,8
66692546,67061200,1643000,1654999,8
70318716,70665930,1742000,1751999,8
70867492,71212449,1756000,1764999,8
73461076,74015772,1818000,1828999,8
74063504,74816284,1830000,1851999,8
75247403,75835584,1864000,1881999,8
76575499,76904113,1904000,1910999,8
76943934,77249538,1912000,1922999,8
78292692,78774646,1950000,1962999,8
79222502,79718262,1973000,1992999,8
79888672,80275223,1996000,2005999,8
80763066,81152390,2017000,2035999,8
81398881,81734654,2042000,2055999,8
