startTime,endTime,startIdx,endIdx,classification
1162545,1341802,47000,55999,0
2152985,2341076,90000,98999,0
3718527,3829353,157000,161999,0
4231035,4359321,180000,185999,0
5495580,5584963,236000,239999,0
6151027,6329912,265000,273999,0
7177845,7380054,310000,320999,0
7670502,8280317,335000,364999,0
10615405,10652927,464000,465999,0
11049023,11182058,486000,492999,0
15817019,15970138,689000,695999,0
18086904,18245927,790000,798999,0
19554103,19713566,855000,862999,0
21941052,22086940,961000,967999,0
23386154,23507622,1025000,1030999,0
23856458,23918518,1047000,1049999,0
28164277,28820509,1231000,1263999,0
33971481,34030744,1485000,1487999,0
37492373,37575147,1633000,1637999,0
37860943,37957033,1653000,1658999,0
41706485,41889997,1838000,1850999,0
42251588,42318314,1871000,1874999,0
46413217,46445919,2065000,2066999,0
46867922,47014666,2093000,2101999,0
53843781,53960191,2406000,2411999,0
55721325,55798743,2488000,2491999,0
57529467,57748652,2566000,2576999,0
58880568,58975096,2636000,2641999,0
60044768,60104230,2692000,2694999,0
61083318,61244429,2738000,2745999,0
