startTime,endTime,startIdx,endIdx,classification
2370045,2561440,84000,91999,0
6475921,7189508,244000,277999,0
6612705,7189508,250000,277999,0
7282445,7448324,282000,289999,0
8170514,8349212,318000,325999,0
23522770,23734307,876000,883999,0
34377907,34478770,1254000,1257999,0
41700734,41805067,1500000,1503999,0
44224080,44330616,1586000,1589999,0
47074518,47231533,1684000,1689999,0
47466528,47563022,1698000,1701999,0
48449104,48554503,1734000,1737999,0
48903316,49010296,1750000,1753999,0
58646537,58936095,2092000,2103999,0
