startTime,endTime,startIdx,endIdx,classification
1649488,2135472,7000,11999,2
5989240,6292731,23000,25999,2
7069577,13563403,38000,63999,3
13777756,14239542,65000,68999,3
15102648,15777860,77000,83999,4
19815704,20095580,104000,107999,5
25792020,26545561,157000,167999,2
31444768,31566421,195000,197999,2
32135230,32582358,210000,213999,3
33595314,33863169,221000,222999,3
36310872,36645238,239000,241999,3
37200390,37799728,251000,257999,4
42311545,42546043,279000,281999,4
48029297,48460202,345000,351999,2
51860888,51971285,376000,378999,2
52407104,53180028,390000,396999,3
57227655,57412420,422000,424999,3
57722667,59235039,430000,439999,4
