startTime,endTime,startIdx,endIdx,classification
93078,380769,0,41999,0
630433,930433,66000,103999,0
1203215,1510406,128000,173999,0
1719198,2069833,194000,247999,0
2333419,2569340,274000,305999,0
2862157,3195198,332000,373999,0
3480324,3696823,400000,427999,0
3959094,4150562,452000,477999,0
4397046,4718926,502000,541999,0
4944147,5253221,562000,605999,0
5490542,5725521,628000,653999,0
5994731,6343973,676000,721999,0
6526081,6742552,740000,773999,0
7121214,7549491,814000,873999,0
7776671,7960973,898000,919999,0
8156291,8545417,938000,981999,0
8802230,9876760,1012000,1125999,0
10327057,11803820,1166000,1305999,0
12042440,12409597,1324000,1359999,0
12860817,13644670,1400000,1485999,0
13964153,14754936,1514000,1599999,0
15041193,15288722,1626000,1657999,0
15521492,15812052,1680000,1717999,0
16110826,16537612,1744000,1801999,0
16825288,17210608,1828000,1869999,0
19492117,20002612,2086000,2135999,0
21403314,22089796,2254000,2327999,0
23191204,23584960,2434000,2471999,0
23917557,24362101,2498000,2549999,0
24670672,25072950,2578000,2621999,0
25409242,25732295,2650000,2681999,0
26021949,26285891,2704000,2729999,0
26687913,27141825,2764000,2811999,0
