startTime,endTime,startIdx,endIdx,classification
4391713,5410751,590000,721999,6
6034747,6451523,774000,833999,6
7086188,7940509,902000,985999,6
11164717,17471301,1250000,1849999,6
14504225,14886310,1556000,1605999,6
15195114,15643173,1636000,1677999,6
15885913,16265974,1700000,1739999,6
20721219,21139400,2398000,2453999,7
22587866,22897302,2614000,2649999,7
45043049,45891213,4936000,5053999,8
46300381,46703101,5110000,5173999,8
47203132,47541386,5224000,5277999,8
48036692,48313313,5334000,5369999,8
48842316,49198912,5426000,5481999,8
49628448,50050076,5530000,5589999,8
51869346,53850171,5912000,6123999,8
54281086,54479397,6170000,6195999,8
