startTime,endTime,startIdx,endIdx,classification
2162903,2262261,158000,169999,4
2678211,2898276,220000,245999,5
4878120,5347350,408000,463999,3
7030755,7711934,574000,639999,3
8386947,8979160,702000,769999,2
10754282,11194590,894000,945999,2
11904578,13040547,1006000,1087999,4
13848923,14502536,1140000,1197999,4
14751437,15233584,1228000,1285999,5
16170517,16469599,1352000,1381999,5
16676656,17052200,1410000,1461999,3
19182153,19683191,1626000,1681999,3
19963402,20455405,1718000,1775999,2
22394696,22797898,1918000,1961999,2
23478734,24093061,2016000,2059999,4
25888210,26222763,2174000,2201999,4
26726203,27282864,2256000,2319999,5
28496872,29053605,2416000,2463999,5
31561001,32208509,2682000,2751999,3
32576975,32846231,2790000,2823999,2
34573675,34913872,2948000,2985999,2
35625957,36315443,3046000,3099999,4
37758055,38316188,3188000,3231999,4
38934318,39286568,3292000,3325999,5
40293538,40790061,3400000,3437999,5
41089912,41586541,3466000,3527999,3
43470752,44270385,3664000,3741999,3
44780776,45288281,3792000,3847999,2
47904253,48309710,4030000,4075999,2
49030790,49835999,4136000,4195999,4
51614287,52453553,4306000,4371999,4
53040344,53478693,4430000,4479999,5
54892003,55459587,4582000,4629999,5
56185912,56970526,4696000,4775999,3
58457810,59113464,4884000,4951999,3
59783007,60158563,5012000,5059999,2
61972994,62444689,5186000,5233999,2
