startTime,endTime,startIdx,endIdx,classification
4638357,4897728,339000,374999,7
6700837,6993367,495000,519999,7
8750616,9150090,645000,679999,7
11122152,12826308,808000,942999,7
20844897,21342973,1562000,1600999,7
27444144,27698245,2009000,2027999,7
28159753,29341106,2058000,2148999,7
29707159,30183690,2174000,2221999,7
32047125,33966702,2374000,2518999,7
44694604,44924710,3128000,3142999,7
63085070,63517388,4372000,4404999,6
65187256,65565948,4514000,4544999,6
67328711,67456465,4664000,4673999,6
69336543,69625697,4795000,4817999,6
70633346,71312083,4881000,4923999,6
75843747,76043634,5195000,5212999,6
78483617,78938995,5481000,5542999,8
79509410,80298891,5593000,5675999,8
80508156,81363353,5697000,5778999,8
81649865,82785670,5802000,5906999,8
83497343,83792134,5958000,5980999,8
84953876,86079324,6072000,6151999,8
86183363,87399019,6160000,6261999,8
88548269,88928830,6343000,6371999,8
89341572,90775318,6399000,6518999,8
93737309,93826454,6726000,6733999,8
94237829,94614132,6761000,6789999,8
99237993,99355139,7100000,7108999,8
100315513,100623113,7171000,7207999,8
