startTime,endTime,startIdx,endIdx,classification
2959957,3072367,184000,191999,4
9309862,9856748,596000,636999,5
16794282,17280396,1084000,1125999,5
17810757,18111840,1162000,1186999,5
18905848,19344614,1244000,1280999,3
20097196,20413647,1335000,1358999,3
21419207,22145492,1423000,1469999,3
22735920,23593140,1507000,1566999,3
23883764,24166422,1586000,1606999,3
25560165,29256785,1706000,1961999,2
34388286,34949569,2267000,2307999,2
36395589,37744352,2410000,2497999,4
40014417,40337865,2641000,2664999,4
41545025,42371710,2747000,2811999,5
47835632,48162172,3158000,3181999,3
48480890,50808331,3203000,3348999,3
53876902,55653699,3541000,3664999,2
61183728,61630535,4007000,4043999,2
62881063,64282243,4131000,4225999,4
65468639,67137138,4308000,4421999,4
68060838,73819657,4489000,4885999,5
75057199,75346276,4966000,4986999,3
76534498,76803910,5057000,5073999,3
77800868,78308029,5131000,5162999,3
78461225,78639311,5172000,5183999,3
79277284,79781423,5222000,5257999,3
