startTime,endTime,startIdx,endIdx,classification
549577,1608031,10000,45999,0
1830308,6243949,52000,173999,0
7129725,7720041,197000,215999,0
7939836,8950344,222000,253999,0
9171471,9696810,260000,277999,0
9876608,10453278,283000,300999,0
10664673,11126381,307000,324999,0
11288518,17912295,330000,527999,0
18197499,19274605,535000,565999,0
19433404,19915559,570000,584999,0
20115704,20559613,590000,605999,0
20704797,21200659,610000,626999,0
21407387,21808609,633000,648999,0
21958168,22385103,653000,667999,0
22565266,22886713,673000,683999,0
23044216,23401998,688000,698999,0
23741291,24090180,708000,718999,0
24264303,24780088,723000,738999,0
25001621,25487375,745000,760999,0
25762758,26136294,768000,778999,0
26425661,26907776,786000,800999,0
27668851,28738090,819000,849999,0
29035003,30169129,858000,894999,0
30352009,30809506,900000,916999,0
31069579,31496981,924000,936999,0
31699225,32482037,942000,966999,0
32693541,33045437,973000,985999,0
34151616,36857028,1018000,1111999,0
37254127,38949791,1124000,1178999,0
39172448,39553049,1186000,1199999,0
40549398,40797251,1232000,1239999,0
41027124,41500999,1246000,1260999,0
41638792,42483782,1265000,1290999,0
42625697,42986294,1295000,1306999,0
43211711,43615164,1313000,1326999,0
43832725,44254222,1333000,1346999,0
44505589,44869200,1354000,1366999,0
45256989,46066476,1378000,1401999,0
46910767,47157311,1424000,1431999,0
47353770,47755099,1437000,1448999,0
48603466,48848684,1472000,1478999,0
49047681,49435354,1484000,1494999,0
49633086,49989520,1500000,1510999,0
50185440,50577705,1516000,1529999,0
50893997,51176589,1538000,1545999,0
51458781,51900836,1553000,1565999,0
52114076,52557128,1571000,1583999,0
52827754,53242402,1591000,1603999,0
53526264,53968085,1611000,1622999,0
55702484,56116138,1664000,1674999,0
56555305,56857010,1686000,1693999,0
58511925,59406775,1732000,1754999,0
59608462,60138453,1760000,1774999,0
60462285,61269265,1783000,1806999,0
61569253,61901425,1815000,1826999,0
