startTime,endTime,startIdx,endIdx,classification
2305337,2938604,198000,257999,6
2997290,7563042,262000,677999,6
7815812,8247927,705000,739999,6
8388249,9790461,752000,864999,6
11952204,12172014,1112000,1138999,6
16540394,16808070,1621000,1652999,6
23511124,32485443,2451000,3457999,7
32964155,35963853,3499000,3792999,7
36520709,42001342,3839000,4323999,7
44677102,51734046,4683000,5315999,8
52418713,54521349,5501000,5741999,8
59052614,59361583,6082000,6138999,8
59986078,64204515,6284000,6612999,8
