startTime,endTime,startIdx,endIdx,classification
96101,8253143,0,559999,0
8569783,9255001,583000,649999,1
11099419,11829543,783000,845999,1
12738919,16087154,915000,1118999,0
16204770,16843928,1132000,1189999,1
17500458,21125297,1247000,1521999,0
21505760,22804888,1544000,1649999,1
23070995,25319301,1673000,1824999,0
25558589,27293099,1846000,1985999,1
27486877,31037087,2001000,2252999,0
31121991,32440060,2260000,2378999,1
32758586,34643443,2408000,2545999,0
34918498,36616862,2568000,2705999,1
37110358,38481605,2751000,2844999,0
38689148,40082707,2861000,2993999,1
40366251,54590433,3016000,3784999,0
55250789,57117946,3825000,3941999,1
57507950,62543543,3971000,4243999,0
