startTime,endTime,startIdx,endIdx,classification
4006115,4616211,36000,48999,3
4758907,7701239,50000,83999,3
10221188,13728954,115000,164999,2
15444250,16490086,186000,206999,4
18340811,18923830,222000,237999,4
20536206,20890623,268000,279999,5
23361585,23632449,313000,323999,5
24826388,28404198,336000,392999,3
29112235,30059636,400000,424999,2
30966751,31813048,432000,448999,2
33207911,33479321,473000,485999,5
35829210,36035395,516000,524999,5
37443443,40280024,548000,595999,4
42142308,44536639,619000,666999,3
45920005,46838844,689000,710999,2
48508030,48812138,726000,737999,2
50247113,50735580,768000,782999,5
53197137,53435174,821000,828999,5
55056360,58895835,855000,910999,4
61234389,64763231,946000,1003999,3
