startTime,endTime,startIdx,endIdx,classification
93724,2860066,0,207999,0
2925279,5035473,212000,385999,0
5188214,5561818,395000,426999,0
5685149,6166441,435000,473999,0
6426429,8531288,490000,643999,0
8741894,9246526,656000,694999,0
9340211,9693671,700000,726999,0
9985278,10324442,744000,768999,0
10613133,11002899,786000,813999,0
11177312,12148152,824000,899999,0
12489279,15032791,921000,1119999,0
15272690,15600273,1137000,1166999,0
15907925,16719043,1188000,1261999,0
16920237,18915014,1275000,1454999,0
19667557,19889703,1510000,1527999,0
20109087,20826125,1541000,1597999,0
21056709,21383382,1612000,1639999,0
21636764,21868840,1654000,1672999,0
22236304,24152332,1697000,1855999,0
24365218,24579200,1871000,1892999,0
24919583,27278707,1918000,2102999,0
27581791,27768119,2122000,2137999,0
28034914,29388887,2155000,2262999,0
29608376,31358577,2277000,2413999,0
31717523,32419575,2438000,2492999,0
32655268,32922136,2508000,2530999,0
33741031,34070529,2592000,2624999,0
34392329,34600640,2647000,2665999,0
34884259,35162491,2684000,2708999,0
35354341,35720256,2720000,2751999,0
35988566,36246277,2770000,2792999,0
36429663,37083565,2804000,2856999,0
37394471,37655135,2879000,2900999,0
38269361,38576122,2942000,2964999,0
38886476,39051557,2986000,3000999,0
39313492,39511496,3019000,3037999,0
39736799,39967149,3052000,3071999,0
40220499,40397025,3088000,3102999,0
41112667,41324255,3154000,3173999,0
41556649,41718811,3190000,3205999,0
41976859,42200825,3223000,3242999,0
42433901,42771382,3259000,3285999,0
42966716,43057045,3305000,3314999,0
43429249,43623677,3345000,3366999,0
44015666,44192316,3401000,3421999,0
44493471,47760258,3447000,3706999,0
47952362,48098594,3720000,3731999,0
52155936,53301041,4093000,4175999,0
54454663,54672229,4252000,4269999,0
54891287,55153409,4285000,4308999,0
55324131,56175729,4319000,4388999,0
56326240,56634582,4398000,4424999,0
56801331,57052511,4435000,4460999,0
57316006,58125709,4479000,4553999,0
58417335,60079777,4578000,4736999,0
60311293,61069072,4753000,4822999,0
61245887,61555817,4837000,4869999,0
61839645,62710687,4892000,4968999,0
63632409,64085067,5099000,5140999,0
