startTime,endTime,startIdx,endIdx,classification
3757832,7220346,17000,49999,4
7517682,7646241,62000,67999,5
11299620,11446134,121000,124999,5
11875443,15784249,131000,176999,3
16143024,21022591,182000,244999,2
22371229,25337959,261000,294999,4
25468790,25606554,303000,311999,5
29350861,29619287,364000,369999,5
29928761,34521403,373000,430999,3
34829613,39930894,435000,494999,2
41381257,45601687,510000,554999,4
45878390,46112149,566000,575999,5
50508669,50713264,623000,626999,5
51068278,54886726,631000,675999,3
55109455,58875673,681000,730999,2
59850486,60701986,745000,757999,4
