startTime,endTime,startIdx,endIdx,classification
18387918,19958258,189000,222999,7
20229818,22440693,227000,267999,7
22696249,23419577,271000,294999,7
25874979,26235526,390000,403999,6
26431458,26970590,411000,423999,6
27258967,27775332,429000,434999,6
30418463,30995060,461000,467999,6
31228174,37770981,471000,540999,6
43643236,43938137,594000,600999,6
48670805,50042816,798000,818999,8
50777989,56257099,824000,920999,8
59448076,59850678,947000,950999,8
62936636,65285304,1019000,1048999,8
