startTime,endTime,startIdx,endIdx,classification
892617,1190879,7000,9999,0
1769774,2628593,16000,26999,0
4531378,5254841,45000,55999,0
5797471,7325530,63000,86999,0
12744985,13220720,130000,135999,0
14361137,14607568,144000,147999,0
14671637,15211249,149000,155999,1
15954571,16665452,163000,171999,0
16780573,17102854,173000,176999,0
19914728,20403468,200000,205999,0
21501680,21795171,217000,220999,0
24124129,24548863,250000,256999,0
24780103,25122451,260000,264999,0
27725208,28338612,300000,308999,0
29264866,30422299,316000,325999,0
30808357,31235644,329000,332999,0
31405614,31802391,334000,336999,0
34913173,35458975,357000,360999,0
35661129,36293007,363000,371999,0
37283558,37533632,394000,400999,0
39103940,39463362,415000,419999,0
39463415,39879486,420000,428999,1
40256622,40620442,435000,441999,0
43009475,43342069,462000,467999,1
44182771,44445837,477000,479999,0
47576364,48467488,516000,525999,0
48467769,50539147,526000,548999,0
52743657,53789474,566000,579999,0
55407989,55751937,596000,600999,0
55929471,56178928,603000,605999,0
56435600,62124126,608000,654999,0
