startTime,endTime,startIdx,endIdx,classification
11506545,12043785,61000,71999,4
12730994,13179792,79000,87999,4
14331939,14696610,111000,118999,5
17274318,18690857,172000,193999,3
19981232,21526291,213000,237999,3
23054901,23815578,259000,269999,4
24396520,24840492,274000,281999,4
28308937,29469709,350000,370999,3
25571685,26038279,293000,302999,5
30676616,32177900,390000,410999,2
33583092,34078622,426000,435999,4
36319235,36870445,471000,476999,5
39786273,40429555,526000,535999,3
40895810,41277325,539000,543999,3
42790342,43152525,561000,568999,2
44641997,45100671,583000,588999,2
46571276,47426629,601000,611999,4
47975060,48645521,615000,625999,4
49678269,50183889,638000,645999,5
52687794,53389543,689000,703999,3
54277763,54594599,709000,714999,3
55833045,56889417,729000,744999,2
57498980,58031281,749000,754999,2
59313971,59853990,769000,777999,4
60572978,61092001,783000,791999,4
62387607,62902519,811000,818999,5
65517783,66309975,858000,873999,3
66781888,67076892,878000,883999,3
68550788,68935476,903000,911999,2
69592911,70100166,919000,924999,2
