startTime,endTime,startIdx,endIdx,classification
114736,1519003,0,47999,3
2684995,5138418,79000,121999,2
5898065,10202415,134000,231999,5
11610666,14800610,252000,282999,4
15340559,18366741,292000,344999,3
19078653,22744793,363000,430999,2
24265157,26012989,459000,487999,4
26504883,29516462,502000,590999,5
31878774,34802605,626000,686999,3
36625075,39745491,728000,773999,2
41271240,44340049,794000,837999,3
45732651,49219414,860000,941999,5
50237106,52139149,958000,984999,4
53689198,58844389,1015000,1142999,5
