startTime,endTime,startIdx,endIdx,classification
128292,455722,0,6999,0
713756,940282,12000,18999,0
1204281,1442002,24000,31999,0
1697020,1984259,37000,44999,0
2123634,2288478,47000,51999,0
2644413,3242655,58000,70999,0
3501714,4079908,75000,87999,0
4173471,4501774,89000,97999,0
4692378,6107089,101000,157999,0
6353670,6691809,164000,178999,0
6953147,7226601,186000,197999,0
7404287,8195569,201000,228999,0
8484735,8971508,234000,247999,0
9896821,10173455,282000,292999,0
10938740,11773671,321000,366999,0
12532817,14095299,388000,463999,0
14575510,27384041,483000,947999,0
27830558,28484487,958000,980999,1
28815733,29372491,991000,1000999,1
29647362,30967294,1009000,1057999,0
31129455,31335844,1068000,1079999,1
31634291,32325490,1088000,1105999,1
34509780,37045410,1163000,1224999,0
37350299,38473201,1233000,1274999,1
41573451,48776558,1353000,1524999,0
49111597,54106750,1533000,1621999,1
58625532,61624861,1692000,1726999,0
