startTime,endTime,startIdx,endIdx,classification
5754111,6029214,536000,553999,7
9368686,10046603,697000,727999,7
12928147,14356316,816000,870999,7
14513459,17250652,877000,957999,7
18160380,18629514,975000,1015999,7
22541059,24874310,1239000,1411999,6
25208402,26956402,1425000,1581999,6
27594678,29383318,1622000,1780999,6
30037310,31937788,1822000,1947999,6
33157690,38519195,2040000,2487999,6
42026830,46791386,2898000,3513999,8
46994498,47395795,3521000,3546999,8
48752405,49134077,3730000,3773999,8
49428638,49566492,3824000,3846999,8
49610056,50686836,3858000,3956999,8
51155327,54892751,3971000,4311999,8
56061432,56159477,4513000,4529999,8
57019019,59116218,4606000,4741999,8
