startTime,endTime,startIdx,endIdx,classification
1548666,2721235,92000,184999,1
3798033,5827905,250000,372999,0
6082318,6754805,393000,439999,1
7253051,7999892,476000,550999,1
8467183,10022839,582000,686999,0
10688994,11497974,730000,807999,1
13278398,14153736,924000,1007999,1
15109740,19768198,1084000,1529999,0
21084933,22314793,1667000,1767999,1
22778420,23549475,1799000,1849999,0
27116306,30906523,2121000,2348999,0
31055304,32035285,2362000,2454999,1
32337635,33985969,2479000,2585999,0
34066769,34788538,2599000,2677999,1
35871883,37068184,2767000,2915999,1
37965159,38603167,2991000,3055999,1
38819144,39610097,3076000,3128999,0
39727109,40937944,3141000,3254999,1
41445052,43191764,3294000,3400999,0
43290884,44066039,3410000,3496999,1
44188993,45797118,3509000,3623999,0
46385957,47570234,3671000,3776999,1
47924219,49123909,3808000,3893999,0
49224712,50166548,3903000,3971999,1
51018030,52584234,4033000,4176999,1
53063315,55312114,4211000,4348999,0
55439819,56399031,4363000,4454999,1
56533356,57937020,4470000,4563999,0
58027821,59360555,4574000,4698999,1
