startTime,endTime,startIdx,endIdx,classification
246473,1644745,8000,43999,7
7858050,9879981,191000,226999,7
17536714,18853297,365000,386999,7
26646446,27107878,546000,573999,6
28270456,28862581,621000,648999,6
36332106,37012308,822000,857999,6
38118801,39055816,902000,935999,6
45795571,55047865,1077000,1276999,8
56290479,56907596,1318000,1337999,8
57787315,58736844,1359000,1378999,8
59525770,59663160,1412000,1420999,8
61877860,62080973,1465000,1476999,8
63307399,63588682,1499000,1511999,8
