startTime,endTime,startIdx,endIdx,classification
4711649,6577874,42000,84999,2
8036962,10616377,107000,149999,3
11982185,14347736,173000,218999,4
15923309,16068706,247000,254999,5
18055220,18298151,301000,310999,5
19584813,21418648,337000,371999,2
22517953,23927352,397000,432999,4
25088538,27525027,460000,538999,3
28763980,28914420,577000,587999,5
30963382,31211603,628000,642999,5
31950242,34552901,658000,711999,2
36010881,36639543,737000,759999,4
37429394,39674511,769000,797999,4
41180766,41477459,823000,837999,3
43751523,44004858,864000,872999,3
45299950,45769080,900000,919999,5
47698190,47856793,949000,958999,5
49312040,51394419,981000,1021999,2
51959418,52849549,1028000,1045999,2
53841996,55997086,1067000,1109999,4
56965873,57145232,1120000,1130999,4
58043386,59883582,1162000,1208999,3
60509122,62550030,1226000,1275999,5
63790101,64081174,1303000,1315999,2
