startTime,endTime,startIdx,endIdx,classification
2259789,4207753,37000,85999,6
5137675,5725532,97000,106999,6
6054382,6544690,113000,120999,6
8189619,8896314,152000,168999,6
9048421,9387242,173000,180999,6
9814973,10150572,191000,199999,6
10258816,11182318,203000,230999,6
11395697,11961378,237000,251999,6
12478128,12960913,266000,279999,6
13877249,14154737,307000,313999,6
16286245,17221157,405000,444999,6
17418021,17594530,453000,458999,6
20137045,20720049,546000,560999,6
23011647,23285436,639000,651999,6
25533659,27104691,716000,731999,7
28518386,43433625,750000,1042999,7
45419874,49772531,1095000,1259999,8
51057501,56298987,1333000,1567999,8
57257487,65981733,1638000,1926999,8
