startTime,endTime,startIdx,endIdx,classification
923246,1066019,36000,43999,0
1303533,2388907,55000,115999,0
2519334,2765673,122000,134999,0
2914873,3471338,142000,169999,0
3743511,3982629,182000,193999,0
5230755,5344732,249000,253999,0
5537220,5776804,262000,272999,0
5877945,6174219,277000,289999,0
6365089,6598994,298000,308999,0
7389977,7747383,343000,358999,0
8421343,8530070,389000,393999,0
9158516,9379807,421000,430999,0
9535500,9664688,438000,443999,0
10249139,10375920,469000,474999,0
11061251,11124992,505000,507999,0
11442718,11683120,522000,532999,0
12507673,12629327,567000,572999,0
12888677,13020171,584000,589999,0
13232730,13294998,599000,601999,0
13570565,13769967,614000,622999,0
15198576,15441955,684000,694999,0
15657261,15858919,704000,712999,0
16070826,16239995,722000,729999,0
16843258,17166843,756000,771999,0
17413150,17614638,783000,793999,0
17770793,18100237,801000,817999,0
18324277,18456222,828000,834999,0
18820090,19869729,852000,904999,0
20153233,20425751,918000,932999,0
20642997,21086864,943000,963999,0
21281613,22408566,973000,1026999,0
22566166,23532868,1034000,1081999,0
25542219,26542777,1166000,1211999,0
28942172,29088308,1313000,1319999,0
31605560,31811639,1429000,1437999,0
32454596,32676283,1465000,1474999,0
34053133,34230732,1535000,1543999,0
35176615,35334873,1585000,1592999,0
35492173,35797497,1600000,1615999,0
35975239,36284088,1624000,1641999,0
36433812,36578821,1649000,1656999,0
36818966,37037697,1668000,1679999,0
37831651,38011589,1721000,1730999,0
38229550,38875297,1741000,1774999,0
39061921,39337457,1784000,1799999,0
39495381,39775438,1807000,1821999,0
40070755,40265029,1835000,1844999,0
40556701,40867856,1858000,1875999,0
41074908,41327944,1886000,1899999,0
41495110,41828239,1908000,1927999,0
41956701,42289441,1934000,1953999,0
43004746,43220075,1987000,1997999,0
43513797,45068350,2012000,2085999,0
45543318,46156586,2108000,2138999,0
46309392,46546255,2146000,2156999,0
46812501,47519955,2169000,2202999,0
47672463,47888997,2210000,2220999,0
48498635,48790945,2250000,2267999,0
48955083,49160194,2276000,2287999,0
49397921,49874073,2299000,2322999,0
50385577,50542816,2346000,2353999,0
50741650,50894060,2363000,2370999,0
51185046,51326203,2384000,2390999,0
53180138,53637001,2469000,2489999,0
53875348,54006561,2503000,2509999,0
54281830,55262867,2524000,2572999,0
55488495,59622181,2584000,2784999,0
