startTime,endTime,startIdx,endIdx,classification
579441,742070,32000,43999,4
901730,1085697,53000,65999,4
2563684,2984021,155000,183999,4
3278667,3382634,200000,205999,4
5656027,5898021,314000,329999,4
7014808,7426279,391000,425999,5
9278952,9529118,515000,535999,5
10721047,11653208,599000,657999,3
12521649,12853436,699000,715999,3
12996906,13291561,723000,743999,3
14370152,14659192,804000,825999,2
16000408,16123828,892000,898999,2
16893280,17166313,934000,953999,2
18500671,18906015,1019000,1045999,4
19519502,19817539,1075000,1090999,4
20174087,20758816,1107000,1134999,4
21086554,21504214,1149000,1171999,4
22960941,23227248,1251000,1275999,5
25439103,25615355,1398000,1413999,5
26958036,27620827,1487000,1530999,3
29576820,29779485,1624000,1637999,3
31132926,34238881,1709000,1877999,2
35355169,35646347,1933000,1952999,4
37808221,38086139,2047000,2065999,4
39172757,39346493,2125000,2140999,5
40973268,41300771,2235000,2254999,5
43339473,43690848,2360000,2381999,3
45893353,46198926,2481000,2500999,3
47144712,47512471,2546000,2573999,2
49807396,50080895,2687000,2706999,2
