startTime,endTime,startIdx,endIdx,classification
96440,375908,0,21999,6
749143,3631772,50000,239999,6
3952888,5524801,260000,379999,6
7123644,7282439,482000,491999,6
10351921,11671387,680000,779999,6
14581124,17970756,1016000,1251999,6
19817885,21859555,1612000,1931999,7
22372165,26907138,1968000,2301999,7
27133562,27617867,2318000,2365999,7
27770730,35148490,2378000,2865999,7
36798617,38417870,2966000,3071999,7
45036095,45222114,4036000,4053999,8
45463609,45784949,4072000,4095999,8
50294700,52390731,4336000,4455999,8
54855330,55085078,4572000,4599999,8
56319236,58342883,4766000,4911999,8
59005188,61528136,4946000,5087999,8
