startTime,endTime,startIdx,endIdx,classification
517600,2384553,27000,126999,5
2924417,4230319,160000,233999,3
4348974,4965182,239000,272999,3
5529282,6278252,307000,347999,2
7162456,7543437,385000,407999,2
8023743,9467794,432000,499999,4
11033233,12866991,582000,685999,5
13371881,15109869,716000,822999,3
16369693,18250256,896000,1000999,2
19001567,20692698,1036000,1114999,4
21451847,23152357,1154000,1242999,5
24103939,24754569,1301000,1348999,3
24874878,26276788,1355000,1438999,3
27360743,29143295,1500000,1599999,2
30187087,31413875,1656000,1724999,4
32896063,33192928,1809000,1828999,5
34144490,34507220,1875000,1899999,5
35158555,35980371,1937000,1988999,3
36298785,37131468,2005000,2051999,3
38103920,39099112,2103000,2159999,2
39496250,39984750,2180000,2210999,2
40503910,42225366,2236000,2323999,4
43207439,44658763,2374000,2440999,5
45289214,47226582,2475000,2580999,3
47943421,49923297,2619000,2728999,2
50881307,52625817,2779000,2867999,4
53651963,55210173,2923000,3000999,5
55980873,56746142,3041000,3086999,3
57551818,58157911,3126000,3163999,3
59030376,59807653,3204000,3248999,2
