startTime,endTime,startIdx,endIdx,classification
294046,322644,13000,14999,0
2474798,2760185,154000,176999,0
3325436,3482101,219000,231999,0
5490712,5618711,389000,399999,0
8795682,9048351,625000,642999,0
9864054,9904863,699000,701999,0
10667536,10961146,754000,776999,0
11356717,11593788,805000,821999,0
13942650,14061600,1002000,1011999,0
15763933,15822458,1128000,1132999,0
16389376,16509779,1177000,1186999,0
16890356,17019063,1214000,1225999,0
17457942,18078965,1261000,1309999,0
19943642,20083619,1439000,1449999,0
21134582,21241806,1529000,1536999,0
29860424,29961318,2139000,2148999,0
44082676,44167323,3048000,3054999,0
50790179,50894799,3563000,3571999,0
51544235,51730085,3617000,3629999,0
51833876,51873743,3637000,3639999,0
52187266,52241289,3663000,3666999,0
52580416,52641664,3691000,3695999,0
53582941,53742847,3763000,3776999,0
54081292,54176657,3804000,3812999,0
57802714,57945510,4075000,4085999,0
59816214,60023092,4218000,4233999,0
