startTime,endTime,startIdx,endIdx,classification
96267,253380,0,11999,5
470806,805363,26000,51999,5
2121655,2441716,134000,153999,5
4701659,5268551,312000,345999,4
5609250,5807942,366000,377999,4
9547850,10454863,614000,677999,3
12702298,13248203,824000,855999,3
13782094,14000574,898000,911999,2
14622984,15113107,950000,977999,2
21159255,21306625,1362000,1373999,5
21957958,22398728,1412000,1439999,5
29109207,29356441,1838000,1853999,4
38479427,42156326,2446000,2679999,2
43819276,44102406,2794000,2813999,4
47371003,48248824,3006000,3067999,5
49744030,51246645,3164000,3257999,5
