startTime,endTime,startIdx,endIdx,classification
8073037,8389627,101000,107999,7
12800625,12911966,180000,181999,7
13745332,14540619,195000,208999,7
19332855,19593030,296000,300999,7
27953441,28281245,414000,419999,7
35552265,37713533,534000,562999,7
46709850,47193553,692000,709999,7
57180347,57813358,955000,973999,6
59687489,63200094,1014000,1079999,6
67954695,72716378,1233000,1331999,6
75331990,76123098,1453000,1477999,6
82162554,82351049,1639000,1646999,8
84154296,90526423,1684000,1777999,8
91850508,93562136,1837000,1868999,8
95915857,97826996,1934000,1955999,8
