startTime,endTime,startIdx,endIdx,classification
94547,179211,0,5999,0
307969,560353,14000,37999,0
743422,914438,52000,65999,0
1113002,1227758,80000,89999,0
1415943,1563844,102000,111999,0
1697768,1839544,120000,131999,0
2118071,2425388,150000,171999,0
2692938,3006216,188000,225999,0
3132864,3465051,236000,277999,0
3689635,3866806,296000,315999,0
3989404,4272842,326000,355999,0
4431021,4688235,368000,403999,0
4846770,5149595,416000,451999,0
5278540,5514480,462000,489999,0
5704853,5961698,506000,533999,0
6113423,6325603,546000,571999,0
6475176,6703586,584000,609999,0
6865187,6976519,622000,633999,0
7163368,7680880,648000,687999,0
7959600,8385384,714000,765999,1
10342335,10429392,942000,949999,0
10669895,11712853,966000,1049999,0
12318894,12455261,1094000,1107999,0
12663830,13549679,1124000,1199999,0
13690516,13894467,1210000,1229999,0
14099161,14269413,1244000,1257999,0
14411337,14555224,1268000,1281999,0
14846573,15270345,1304000,1335999,0
15429931,15646911,1346000,1363999,0
15780184,16344917,1372000,1419999,0
16539483,16619474,1432000,1437999,0
16849650,17005845,1452000,1463999,0
17250306,17324598,1480000,1485999,0
17887261,18053471,1530000,1543999,0
18261762,18730649,1560000,1605999,0
18884768,19756079,1618000,1695999,0
19997757,20088193,1714000,1721999,0
20277895,20669216,1734000,1763999,0
20940327,21151395,1784000,1801999,0
21335206,21744082,1814000,1845999,0
21986514,22200067,1864000,1883999,0
22378389,22538447,1898000,1911999,0
22719192,23417563,1924000,1975999,0
23600586,23860846,1988000,2009999,0
23860850,24200903,2010000,2035999,0
24444233,24936411,2052000,2087999,0
25065712,25223465,2096000,2109999,0
25494329,25602161,2130000,2141999,0
26420970,26642476,2222000,2255999,1
28028117,28238455,2392000,2413999,0
28495606,28948486,2434000,2471999,0
29562033,30046629,2520000,2561999,0
30197143,30323391,2572000,2583999,0
30581812,30674388,2602000,2609999,0
30887906,31009573,2624000,2633999,0
31245218,31706878,2650000,2685999,0
31952858,32428321,2704000,2743999,0
32686687,32754596,2762000,2767999,0
32962948,33164460,2782000,2801999,0
33456429,33565837,2824000,2833999,0
33769131,33978222,2848000,2867999,0
34125628,34317000,2878000,2895999,0
34557743,34658879,2914000,2923999,0
35226511,35549337,2978000,3035999,0
36802040,36858195,3192000,3197999,0
37127312,37179074,3222000,3227999,0
37359330,37584833,3242000,3265999,0
38508936,38650482,3336000,3347999,0
38901888,38984140,3366000,3373999,0
39278973,39388144,3396000,3405999,0
39623581,39787985,3422000,3435999,0
39938150,40191502,3446000,3471999,0
40319083,40535012,3480000,3499999,0
41074213,41229037,3538000,3551999,0
41429285,41698809,3566000,3591999,0
41911676,42252719,3608000,3635999,0
42671484,42795412,3676000,3689999,0
43074130,43180451,3712000,3723999,0
43540007,43805587,3756000,3775999,0
43887461,46496052,3784000,3995999,0
46791642,47009986,4018000,4039999,0
47210773,47318977,4056000,4067999,0
47550756,47721643,4086000,4103999,0
47964879,48084150,4122000,4133999,0
48232464,48443274,4144000,4161999,0
48687331,49435915,4178000,4233999,0
49735571,50155538,4256000,4289999,0
50486583,51277909,4314000,4373999,0
51504412,52382513,4390000,4453999,0
52599202,53450344,4468000,4529999,0
53687585,53811483,4546000,4555999,0
54084211,54431413,4574000,4595999,0
54692722,55099921,4612000,4639999,0
55353695,55434275,4656000,4661999,0
55643974,55833354,4674000,4687999,0
56057958,56361473,4704000,4723999,0
56761939,56983815,4750000,4763999,0
57090848,57413610,4772000,4793999,0
57687785,57797701,4812000,4819999,0
58355678,61133933,4854000,5039999,0
