startTime,endTime,startIdx,endIdx,classification
11585296,12190124,796000,845999,7
12616905,12791163,876000,895999,7
25646595,25836990,1928000,1943999,7
28396689,28935546,2124000,2183999,7
34497193,35427100,2558000,2679999,6
37556073,37665914,2822000,2829999,6
39327212,40413718,2930000,3031999,6
42917219,43815408,3346000,3407999,6
44938309,45356881,3578000,3617999,6
47013389,47407589,3796000,3841999,6
48909378,49688667,4010000,4103999,6
50235828,50400102,4178000,4193999,7
53854115,55237798,4504000,4675999,8
55625687,57559849,4728000,4987999,8
57955261,58483422,5044000,5121999,8
59139666,60104371,5214000,5337999,8
60920363,62238618,5440000,5615999,8
66726336,68258329,6212000,6429999,8
68658120,68848753,6472000,6491999,8
70522498,70904953,6680000,6739999,8
72176864,74119129,6916000,7153999,8
75042036,75427569,7292000,7347999,8
