startTime,endTime,startIdx,endIdx,classification
1736863,1807690,62000,66999,2
4966492,5089521,196000,202999,2
5182973,5444829,212000,239999,3
7791248,7912264,356000,364999,4
10593192,10767652,484000,493999,4
11075020,11231695,524000,544999,5
15096683,15190485,748000,767999,5
15347966,15573236,798000,819999,4
17257838,17454600,903000,917999,4
17609767,17682181,944000,961999,5
19328559,19369877,1081000,1088999,5
19752520,19829831,1137000,1144999,2
22752375,22865914,1312000,1318999,2
23361117,23479747,1366000,1379999,3
28548663,28778708,1667000,1684999,4
30727927,31281657,1790000,1825999,2
32573793,32689512,1891000,1898999,2
32814846,33087447,1910000,1938999,5
35346356,35503102,2093000,2118999,3
37456122,37531477,2240000,2246999,3
38497631,38646917,2311000,2321999,4
52964192,53080002,3119000,3128999,2
54982286,55119932,3230000,3238999,2
55463246,55920326,3270000,3311999,3
57155040,57360661,3376000,3390999,3
57841991,58043045,3426000,3441999,4
58733101,58882655,3481000,3491999,4
59044083,59190934,3512000,3534999,5
60477559,60656272,3635000,3651999,2
62140447,62260499,3737000,3745999,2
