startTime,endTime,startIdx,endIdx,classification
1573637,1628180,132000,137999,0
5570299,5637091,451000,456999,0
7068601,7166938,580000,588999,0
7068601,7293736,580000,600999,0
7660888,7950913,630000,657999,0
9349357,9577117,775000,796999,0
11255184,11314009,945000,950999,0
11429970,11552674,962000,973999,0
11681120,11805790,984000,995999,0
11859882,11948586,1001000,1009999,0
13594435,13677376,1152000,1160999,0
14873497,15004674,1259000,1272999,0
16582605,16649453,1397000,1403999,0
16536017,16639277,1392000,1402999,0
16909249,16989145,1426000,1434999,0
17847944,17930839,1527000,1536999,0
19253999,19320714,1704000,1713999,0
19493250,19546642,1734000,1739999,0
19796076,19876757,1765000,1773999,0
22320089,22441654,2000000,2013999,0
23270514,23419708,2084000,2097999,0
32018800,32070938,2718000,2721999,0
37216562,37381319,3070000,3081999,0
40811053,40869043,3313000,3317999,0
42559524,42631733,3441000,3446999,0
42818558,42927382,3461000,3469999,0
43465016,43530511,3507000,3511999,0
43732806,44001528,3529000,3555999,0
45673969,45787412,3711000,3724999,0
48333137,48514479,3916000,3932999,0
49313596,49795721,3995000,4032999,0
52617080,52669829,4244000,4247999,0
55397557,55538757,4428000,4438999,0
57468291,57588897,4581000,4591999,0
58889399,59488288,4680000,4747999,0
60683400,60822827,4925000,4946999,0
61174580,61610849,4999000,5069999,0
62361170,62540033,5157000,5180999,0
