startTime,endTime,startIdx,endIdx,classification
4637345,4741861,350000,359999,5
6112020,6650128,470000,539999,3
8310915,8879945,696000,761999,2
10560402,10725505,916000,931999,4
12284451,12606359,1068000,1097999,5
18384159,18471708,1542000,1549999,5
21383949,22041378,1774000,1837999,2
24466097,24667265,2054000,2073999,3
27319617,27827029,2284000,2337999,2
30967935,32611560,2600000,2717999,3
34382318,34716441,2876000,2903999,4
37041668,37429044,3092000,3131999,5
40235284,40452992,3356000,3373999,4
43195368,43361152,3586000,3607999,3
45628823,45974007,3808000,3847999,2
59293630,60109223,4882000,4959999,5
