startTime,endTime,startIdx,endIdx,classification
1431934,1466216,82000,83999,6
4277268,4353022,147000,153999,6
6197871,6468084,259000,279999,6
7575281,8270811,298000,326999,6
10964959,12131273,433000,486999,6
13796203,14247125,575000,607999,6
16882009,17144346,645000,654999,6
19020585,19631829,745000,780999,6
24398828,26016714,976000,1018999,7
26460664,26752107,1026000,1032999,7
27088818,27205232,1041000,1042999,7
29169578,30079889,1125000,1147999,7
33372607,35052274,1347000,1396999,7
37479510,39713604,1519000,1585999,7
44232299,45524027,1905000,1943999,8
46303926,46556368,1959000,1966999,8
49255935,49718419,2094000,2129999,8
50488804,52036770,2161000,2226999,8
52207168,52815948,2232000,2255999,8
54924994,55680158,2342000,2359999,8
