startTime,endTime,startIdx,endIdx,classification
16382953,16575808,1372000,1388999,6
16447870,16730483,1378000,1400999,6
20174882,20298497,1651000,1661999,6
42389423,42494807,4111000,4125999,7
42445539,43012913,4119000,4187999,7
43451048,43603540,4225000,4240999,7
46253447,46367285,4450000,4460999,7
59045403,59559225,6380000,6445999,8
61854536,62434318,6634000,6695999,8
62823264,63078447,6734000,6763999,8
63414685,63554969,6796000,6810999,8
65801813,65840391,6979000,6982999,8
66200602,66374707,7013000,7028999,8
73960360,74053223,7666000,7674999,8
