startTime,endTime,startIdx,endIdx,classification
2628752,2738310,158000,171999,2
6795755,6974171,448000,467999,2
8341811,8446807,588000,601999,3
11324164,11379901,810000,813999,3
11777266,12148115,841000,866999,3
13892052,13966329,1017000,1023999,4
18050950,18377696,1295000,1320999,4
19882665,19984599,1437000,1446999,4
24512232,24706590,1809000,1833999,4
27069768,27224618,1999000,2016999,2
29767098,29846191,2193000,2199999,2
30555788,30610036,2279000,2285999,3
32714106,32741806,2439000,2440999,3
33493955,33613143,2493000,2504999,3
38260388,38715543,2858000,2907999,5
40170603,40284975,3038000,3048999,4
42128737,42250612,3215000,3227999,2
44520496,44646722,3389000,3397999,2
47756166,48593804,3658000,3713999,3
49453589,49638448,3769000,3790999,3
50955546,51052959,3900000,3906999,4
53929045,54127402,4128000,4148999,5
54574581,54653427,4193000,4199999,5
55232986,55367228,4245000,4256999,5
57002450,57084110,4406000,4416999,2
