startTime,endTime,startIdx,endIdx,classification
98998,651848,0,3999,0
841934,2015082,5000,11999,0
2247324,3939543,13000,21999,0
4346791,4676992,24000,25999,0
5274547,6863851,29000,41999,0
7949550,8452855,61000,64999,0
8638424,9281673,66000,70999,0
9762173,10533468,74000,78999,0
11953831,16471978,89000,121999,0
16641863,18427167,123000,137999,0
19564183,21709213,147000,161999,0
22044803,27612844,164000,194999,0
27806349,29701182,196000,205999,0
30771224,31555678,211000,214999,0
32022411,32782609,217000,221999,0
34354372,39066364,230000,255999,0
39713868,41234817,260000,268999,0
47767543,48444926,304000,307999,0
52601332,53696547,330000,335999,0
54955053,55291752,342000,343999,0
62927358,64210380,387000,392999,0
