startTime,endTime,startIdx,endIdx,classification
2393013,2561838,209000,223999,0
3648913,3782994,317000,329999,0
4279337,4466673,372000,393999,0
4961892,5097957,436000,449999,0
5640231,5727502,498000,507999,0
6235491,6465311,554000,579999,0
12242771,12399322,1006000,1020999,0
12984266,13339606,1065000,1096999,0
13921647,14186177,1139000,1163999,0
21773465,21971757,1758000,1780999,0
22544608,22676611,1829000,1840999,0
23337778,23474670,1887000,1899999,0
24189114,24517792,1954000,1979999,0
31221061,31323021,2433000,2442999,0
33442724,33809106,2629000,2668999,0
41177527,41375508,3161000,3178999,0
45287259,45390430,3474000,3485999,0
45790735,46032936,3523000,3552999,0
46402609,46604879,3588000,3608999,0
50133991,50343034,3915000,3933999,0
51503441,51846312,4042000,4076999,0
52639828,52869941,4138000,4155999,0
63523553,63711914,4899000,4916999,0
64962146,65150747,5018000,5033999,0
