startTime,endTime,startIdx,endIdx,classification
94275,254190,0,11999,0
2239504,2555014,156000,179999,0
2916946,3022080,206000,213999,0
3113423,3558498,220000,257999,0
3674054,4125122,266000,303999,0
4388680,4716840,322000,349999,0
4867489,5336682,360000,399999,0
5455908,5672841,408000,425999,0
5849056,6097926,438000,459999,0
6323780,6645429,476000,503999,0
6949163,7074874,528000,537999,0
9047602,9464507,694000,729999,0
9606073,9967181,740000,771999,0
10055893,10427403,778000,811999,0
10537745,10871485,820000,851999,0
10984809,11315207,860000,889999,0
11400478,11773084,896000,927999,0
11884026,12207222,936000,965999,0
12348692,12707070,976000,1009999,0
12811847,13231749,1018000,1053999,0
13320350,13649024,1060000,1087999,0
